,0,1,2
41,To Die For ,"['Comedy', 'Drama', 'Thriller']",(1995)
42,How to Make an American Quilt ,"['Drama', 'Romance']",(1995)
43,Seven ,"['Mystery', 'Thriller']",(1995)
44,Pocahontas ,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",(1995)
45,When Night Is Falling ,"['Drama', 'Romance']",(1995)
46,"Usual Suspects, The ","['Crime', 'Mystery', 'Thriller']",(1995)
47,Mighty Aphrodite ,"['Comedy', 'Drama', 'Romance']",(1995)
48,Lamerica ,"['Adventure', 'Drama']",(1994)
49,"Big Green, The ","['Children', 'Comedy']",(1995)
50,Georgia ,['Drama'],(1995)
51,Home for the Holidays ,['Drama'],(1995)
52,"Postman, The (Postino, Il) ","['Comedy', 'Drama', 'Romance']",(1994)
53,"Indian in the Cupboard, The ","['Adventure', 'Children', 'Fantasy']",(1995)
54,Eye for an Eye ,"['Drama', 'Thriller']",(1996)
55,Mr. Holland's Opus ,['Drama'],(1995)
56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,"['Comedy', 'Crime']",(1996)
57,Two if by Sea ,"['Comedy', 'Romance']",(1996)
58,Bio-Dome ,['Comedy'],(1996)
59,Lawnmower Man 2: Beyond Cyberspace ,"['Action', 'Sci-Fi', 'Thriller']",(1996)
60,French Twist (Gazon maudit) ,"['Comedy', 'Romance']",(1995)
61,Friday ,['Comedy'],(1995)
62,From Dusk Till Dawn ,"['Action', 'Comedy', 'Horror', 'Thriller']",(1996)
63,Fair Game ,['Action'],(1995)
64,Kicking and Screaming ,"['Comedy', 'Drama']",(1995)
65,"Misérables, Les ","['Drama', 'War']",(1995)
66,Bed of Roses ,"['Drama', 'Romance']",(1996)
67,Big Bully ,"['Comedy', 'Drama']",(1996)
68,Screamers ,"['Action', 'Sci-Fi', 'Thriller']",(1995)
69,Nico Icon ,['Documentary'],(1995)
70,"Crossing Guard, The ","['Action', 'Crime', 'Drama', 'Thriller']",(1995)
71,"Juror, The ","['Drama', 'Thriller']",(1996)
72,"White Balloon, The ","['Children', 'Drama']",(1995)
73,Things to Do in Denver When You're Dead ,"['Crime', 'Drama', 'Romance']",(1995)
74,Antonia's Line (Antonia) ,"['Comedy', 'Drama']",(1995)
75,Once Upon a Time... When We Were Colored ,"['Drama', 'Romance']",(1995)
76,Angels and Insects ,"['Drama', 'Romance']",(1995)
77,White Squall ,"['Action', 'Adventure', 'Drama']",(1996)
78,Dunston Checks In ,"['Children', 'Comedy']",(1996)
79,Black Sheep ,['Comedy'],(1996)
80,Nick of Time ,"['Action', 'Thriller']",(1995)
81,Mary Reilly ,"['Drama', 'Horror', 'Thriller']",(1996)
82,Vampire in Brooklyn ,"['Comedy', 'Horror', 'Romance']",(1995)
83,Beautiful Girls ,"['Comedy', 'Drama', 'Romance']",(1996)
84,Broken Arrow ,"['Action', 'Adventure', 'Thriller']",(1996)
85,In the Bleak Midwinter ,"['Comedy', 'Drama']",(1995)
86,"Hate (Haine, La) ","['Crime', 'Drama']",(1995)
87,Heidi Fleiss: Hollywood Madam ,['Documentary'],(1995)
88,City Hall ,"['Drama', 'Thriller']",(1996)
89,Bottle Rocket ,"['Adventure', 'Comedy', 'Crime', 'Romance']",(1996)
90,Mr. Wrong ,['Comedy'],(1996)
91,Unforgettable ,"['Mystery', 'Sci-Fi', 'Thriller']",(1996)
92,Happy Gilmore ,['Comedy'],(1996)
93,"Bridges of Madison County, The ","['Drama', 'Romance']",(1995)
94,Nobody Loves Me (Keiner liebt mich) ,"['Comedy', 'Drama']",(1994)
95,Muppet Treasure Island ,"['Adventure', 'Children', 'Comedy', 'Musical']",(1996)
96,Catwalk ,['Documentary'],(1996)
97,Braveheart ,"['Action', 'Drama', 'War']",(1995)
98,Taxi Driver ,"['Crime', 'Drama', 'Thriller']",(1976)
99,Rumble in the Bronx ,"['Action', 'Adventure', 'Comedy', 'Crime']",(1995)
100,Before and After ,"['Drama', 'Mystery']",(1996)
101,Anne Frank Remembered ,['Documentary'],(1995)
102,"Young Poisoner's Handbook, The ","['Crime', 'Drama']",(1995)
103,If Lucy Fell ,"['Comedy', 'Romance']",(1996)
104,"Steal Big, Steal Little ",['Comedy'],(1995)
105,"Boys of St. Vincent, The ",['Drama'],(1992)
106,Boomerang ,"['Comedy', 'Romance']",(1992)
107,Chungking Express (Chung Hing sam lam) ,"['Drama', 'Mystery', 'Romance']",(1994)
108,Flirting With Disaster ,['Comedy'],(1996)
109,"NeverEnding Story III, The ","['Adventure', 'Children', 'Fantasy']",(1994)
110,Jupiter's Wife ,['Documentary'],(1994)
111,Pie in the Sky ,"['Comedy', 'Romance']",(1996)
112,Jade ,['Thriller'],(1995)
113,Down Periscope ,['Comedy'],(1996)
114,Man of the Year ,['Documentary'],(1995)
115,Up Close and Personal ,"['Drama', 'Romance']",(1996)
116,"Birdcage, The ",['Comedy'],(1996)
117,"Brothers McMullen, The ",['Comedy'],(1995)
118,Bad Boys ,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",(1995)
119,"Amazing Panda Adventure, The ","['Adventure', 'Children']",(1995)
120,"Basketball Diaries, The ",['Drama'],(1995)
121,"Awfully Big Adventure, An ",['Drama'],(1995)
122,Amateur ,"['Crime', 'Drama', 'Thriller']",(1994)
123,Apollo 13 ,"['Adventure', 'Drama', 'IMAX']",(1995)
124,Rob Roy ,"['Action', 'Drama', 'Romance', 'War']",(1995)
125,"Addiction, The ","['Drama', 'Horror']",(1995)
126,Batman Forever ,"['Action', 'Adventure', 'Comedy', 'Crime']",(1995)
127,Beauty of the Day (Belle de jour) ,['Drama'],(1967)
128,Beyond Rangoon ,"['Adventure', 'Drama', 'War']",(1995)
129,Blue in the Face ,"['Comedy', 'Drama']",(1995)
130,Canadian Bacon ,"['Comedy', 'War']",(1995)
131,Casper ,"['Adventure', 'Children']",(1995)
132,Clockers ,"['Crime', 'Drama', 'Mystery']",(1995)
133,Congo ,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",(1995)
134,Crimson Tide ,"['Drama', 'Thriller', 'War']",(1995)
135,Crumb ,['Documentary'],(1994)
136,Desperado ,"['Action', 'Romance', 'Western']",(1995)
137,Devil in a Blue Dress ,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",(1995)
138,Die Hard: With a Vengeance ,"['Action', 'Crime', 'Thriller']",(1995)
139,"Doom Generation, The ","['Comedy', 'Crime', 'Drama']",(1995)
140,First Knight ,"['Action', 'Drama', 'Romance']",(1995)
141,Free Willy 2: The Adventure Home ,"['Adventure', 'Children', 'Drama']",(1995)
142,Hackers ,"['Action', 'Adventure', 'Crime', 'Thriller']",(1995)
143,Jeffrey ,"['Comedy', 'Drama']",(1995)
144,Johnny Mnemonic ,"['Action', 'Sci-Fi', 'Thriller']",(1995)
145,Judge Dredd ,"['Action', 'Crime', 'Sci-Fi']",(1995)
146,Jury Duty ,['Comedy'],(1995)
147,Kids ,['Drama'],(1995)
148,Living in Oblivion ,['Comedy'],(1995)
149,Lord of Illusions ,['Horror'],(1995)
150,Love & Human Remains ,"['Comedy', 'Drama']",(1993)
151,Mad Love ,"['Drama', 'Romance']",(1995)
152,Mallrats ,"['Comedy', 'Romance']",(1995)
153,Mighty Morphin Power Rangers: The Movie ,"['Action', 'Children']",(1995)
154,Mute Witness ,"['Comedy', 'Horror', 'Thriller']",(1994)
155,Nadja ,['Drama'],(1994)
156,"Net, The ","['Action', 'Crime', 'Thriller']",(1995)
157,Nine Months ,"['Comedy', 'Romance']",(1995)
158,Party Girl ,['Comedy'],(1995)
159,"Prophecy, The ","['Fantasy', 'Horror', 'Mystery']",(1995)
160,Reckless ,"['Comedy', 'Fantasy']",(1995)
161,Safe ,['Thriller'],(1995)
162,"Scarlet Letter, The ","['Drama', 'Romance']",(1995)
163,Showgirls ,['Drama'],(1995)
164,Smoke ,"['Comedy', 'Drama']",(1995)
165,Something to Talk About ,"['Comedy', 'Drama', 'Romance']",(1995)
166,Species ,"['Horror', 'Sci-Fi']",(1995)
167,Strange Days ,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",(1995)
168,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) ","['Drama', 'Musical', 'Romance']",(1964)
169,Three Wishes ,"['Drama', 'Fantasy']",(1995)
170,Total Eclipse ,"['Drama', 'Romance']",(1995)
171,"To Wong Foo, Thanks for Everything! Julie Newmar ",['Comedy'],(1995)
172,Under Siege 2: Dark Territory ,['Action'],(1995)
173,Unstrung Heroes ,"['Comedy', 'Drama']",(1995)
174,Unzipped ,['Documentary'],(1995)
175,"Walk in the Clouds, A ","['Drama', 'Romance']",(1995)
176,Waterworld ,"['Action', 'Adventure', 'Sci-Fi']",(1995)
177,White Man's Burden ,['Drama'],(1995)
178,Wild Bill ,['Western'],(1995)
179,"Browning Version, The ",['Drama'],(1994)
180,Bushwhacked ,"['Adventure', 'Comedy', 'Crime', 'Mystery']",(1995)
181,Burnt by the Sun (Utomlyonnye solntsem) ,['Drama'],(1994)
182,Before the Rain (Pred dozhdot) ,"['Drama', 'War']",(1994)
183,Before Sunrise ,"['Drama', 'Romance']",(1995)
184,Billy Madison ,['Comedy'],(1995)
185,"Babysitter, The ","['Drama', 'Thriller']",(1995)
186,Boys on the Side ,"['Comedy', 'Drama']",(1995)
187,"Cure, The ",['Drama'],(1995)
188,Castle Freak ,['Horror'],(1995)
189,Circle of Friends ,"['Drama', 'Romance']",(1995)
190,Clerks ,['Comedy'],(1994)
191,Don Juan DeMarco ,"['Comedy', 'Drama', 'Romance']",(1995)
192,Disclosure ,"['Drama', 'Thriller']",(1994)
193,Drop Zone ,"['Action', 'Thriller']",(1994)
194,Destiny Turns on the Radio ,['Comedy'],(1995)
195,Death and the Maiden ,"['Drama', 'Thriller']",(1994)
196,Dolores Claiborne ,"['Drama', 'Thriller']",(1995)
197,Dumb & Dumber (Dumb and Dumber) ,"['Adventure', 'Comedy']",(1994)
198,Eat Drink Man Woman (Yin shi nan nu) ,"['Comedy', 'Drama', 'Romance']",(1994)
199,Exotica ,['Drama'],(1994)
200,Exit to Eden ,['Comedy'],(1994)
201,Ed Wood ,"['Comedy', 'Drama']",(1994)
202,French Kiss ,"['Action', 'Comedy', 'Romance']",(1995)
203,Forget Paris ,"['Comedy', 'Romance']",(1995)
204,Far From Home: The Adventures of Yellow Dog ,"['Adventure', 'Children']",(1995)
205,"Goofy Movie, A ","['Animation', 'Children', 'Comedy', 'Romance']",(1995)
206,Hideaway ,['Thriller'],(1995)
207,Fluke ,"['Children', 'Drama']",(1995)
208,Farinelli: il castrato ,"['Drama', 'Musical']",(1994)
209,Gordy ,"['Children', 'Comedy', 'Fantasy']",(1995)
210,Hoop Dreams ,['Documentary'],(1994)
211,Heavenly Creatures ,"['Crime', 'Drama']",(1994)
212,Houseguest ,['Comedy'],(1994)
213,Immortal Beloved ,"['Drama', 'Romance']",(1994)
214,Heavyweights (Heavy Weights) ,"['Children', 'Comedy']",(1995)
215,"Hunted, The ",['Action'],(1995)
216,I.Q. ,"['Comedy', 'Romance']",(1994)
217,Interview with the Vampire: The Vampire Chronicles ,"['Drama', 'Horror']",(1994)
218,Jefferson in Paris ,['Drama'],(1995)
219,"Jerky Boys, The ",['Comedy'],(1995)
220,Junior ,"['Comedy', 'Sci-Fi']",(1994)
221,Just Cause ,"['Mystery', 'Thriller']",(1995)
222,"Kid in King Arthur's Court, A ","['Adventure', 'Children', 'Comedy', 'Fantasy', 'Romance']",(1995)
223,Kiss of Death ,"['Crime', 'Drama', 'Thriller']",(1995)
224,Star Wars: Episode IV - A New Hope ,"['Action', 'Adventure', 'Sci-Fi']",(1977)
225,Little Women ,['Drama'],(1994)
226,"Little Princess, A ","['Children', 'Drama']",(1995)
227,Ladybird Ladybird ,['Drama'],(1994)
228,Like Water for Chocolate (Como agua para chocolate) ,"['Drama', 'Fantasy', 'Romance']",(1992)
229,Legends of the Fall ,"['Drama', 'Romance', 'War', 'Western']",(1994)
230,Major Payne ,['Comedy'],(1995)
231,My Crazy Life (Mi vida loca) ,['Drama'],(1993)
232,Love Affair ,"['Drama', 'Romance']",(1994)
233,Losing Isaiah ,['Drama'],(1995)
234,"Madness of King George, The ","['Comedy', 'Drama']",(1994)
235,Mary Shelley's Frankenstein (Frankenstein) ,"['Drama', 'Horror', 'Sci-Fi']",(1994)
236,Man of the House ,['Comedy'],(1995)
237,Mixed Nuts ,['Comedy'],(1994)
238,Milk Money ,"['Comedy', 'Romance']",(1994)
239,Miracle on 34th Street ,['Drama'],(1994)
240,Miami Rhapsody ,['Comedy'],(1995)
241,My Family ,['Drama'],(1995)
242,Murder in the First ,"['Drama', 'Thriller']",(1995)
243,Nobody's Fool ,"['Comedy', 'Drama', 'Romance']",(1994)
244,Nell ,['Drama'],(1994)
245,New Jersey Drive ,"['Crime', 'Drama']",(1995)
246,New York Cop (Nyû Yôku no koppu) ,"['Action', 'Crime']",(1993)
247,Beyond Bedlam ,"['Drama', 'Horror']",(1993)
248,Nina Takes a Lover ,"['Comedy', 'Romance']",(1994)
249,Natural Born Killers ,"['Action', 'Crime', 'Thriller']",(1994)
250,Only You ,"['Comedy', 'Romance']",(1994)
251,Once Were Warriors ,"['Crime', 'Drama']",(1994)
252,Poison Ivy II ,"['Drama', 'Thriller']",(1996)
253,Outbreak ,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",(1995)
254,Léon: The Professional (a.k.a. The Professional) (Léon) ,"['Action', 'Crime', 'Drama', 'Thriller']",(1994)
255,"Perez Family, The ","['Comedy', 'Romance']",(1995)
256,"Pyromaniac's Love Story, A ","['Comedy', 'Romance']",(1995)
257,Pulp Fiction ,"['Comedy', 'Crime', 'Drama', 'Thriller']",(1994)
258,Pushing Hands (Tui shou) ,['Drama'],(1992)
259,Priest ,['Drama'],(1994)
260,Quiz Show ,['Drama'],(1994)
261,Picture Bride (Bijo photo) ,"['Drama', 'Romance']",(1994)
262,"Queen Margot (Reine Margot, La) ","['Drama', 'Romance']",(1994)
263,"Quick and the Dead, The ","['Action', 'Thriller', 'Western']",(1995)
264,Roommates ,"['Comedy', 'Drama']",(1995)
265,Ready to Wear (Pret-A-Porter) ,['Comedy'],(1994)
266,Three Colors: Red (Trois couleurs: Rouge) ,['Drama'],(1994)
267,Three Colors: Blue (Trois couleurs: Bleu) ,['Drama'],(1993)
268,Three Colors: White (Trzy kolory: Bialy) ,"['Comedy', 'Drama']",(1994)
269,Rent-a-Kid ,['Comedy'],(1995)
270,Relative Fear ,"['Horror', 'Thriller']",(1994)
271,Stuart Saves His Family ,['Comedy'],(1995)
272,"Swan Princess, The ","['Animation', 'Children']",(1994)
273,"Secret of Roan Inish, The ","['Children', 'Drama', 'Fantasy', 'Mystery']",(1994)
274,"Specialist, The ","['Action', 'Drama', 'Thriller']",(1994)
275,Stargate ,"['Action', 'Adventure', 'Sci-Fi']",(1994)
276,"Santa Clause, The ","['Comedy', 'Drama', 'Fantasy']",(1994)
277,"Shawshank Redemption, The ","['Crime', 'Drama']",(1994)
278,Shallow Grave ,"['Comedy', 'Drama', 'Thriller']",(1994)
279,Suture ,"['Film-Noir', 'Thriller']",(1993)
280,Strawberry and Chocolate (Fresa y chocolate) ,['Drama'],(1993)
281,Swimming with Sharks ,"['Comedy', 'Drama']",(1995)
282,"Sum of Us, The ","['Comedy', 'Drama']",(1994)
283,National Lampoon's Senior Trip ,['Comedy'],(1995)
284,To Live (Huozhe) ,['Drama'],(1994)
285,Tank Girl ,"['Action', 'Comedy', 'Sci-Fi']",(1995)
286,Tales from the Crypt Presents: Demon Knight ,"['Horror', 'Thriller']",(1995)
287,Star Trek: Generations ,"['Adventure', 'Drama', 'Sci-Fi']",(1994)
288,Tales from the Hood ,"['Action', 'Crime', 'Horror']",(1995)
289,Tom & Viv ,['Drama'],(1994)
290,Village of the Damned ,"['Horror', 'Sci-Fi']",(1995)
291,Tommy Boy ,['Comedy'],(1995)
292,Vanya on 42nd Street ,['Drama'],(1994)
293,Underneath ,"['Mystery', 'Thriller']",(1995)
294,"Walking Dead, The ","['Drama', 'War']",(1995)
295,What's Eating Gilbert Grape ,['Drama'],(1993)
296,Virtuosity ,"['Action', 'Sci-Fi', 'Thriller']",(1995)
297,While You Were Sleeping ,"['Comedy', 'Romance']",(1995)
298,"War, The ","['Adventure', 'Drama', 'War']",(1994)
299,Double Happiness ,['Drama'],(1994)
300,Muriel's Wedding ,['Comedy'],(1994)
301,"Baby-Sitters Club, The ",['Children'],(1995)
302,Ace Ventura: Pet Detective ,['Comedy'],(1994)
303,"Adventures of Priscilla, Queen of the Desert, The ","['Comedy', 'Drama']",(1994)
304,Backbeat ,"['Drama', 'Musical']",(1993)
305,Bitter Moon ,"['Drama', 'Film-Noir', 'Romance']",(1992)
306,Bullets Over Broadway ,['Comedy'],(1994)
307,Clear and Present Danger ,"['Action', 'Crime', 'Drama', 'Thriller']",(1994)
308,"Client, The ","['Drama', 'Mystery', 'Thriller']",(1994)
309,"Corrina, Corrina ","['Comedy', 'Drama', 'Romance']",(1994)
310,Crooklyn ,"['Comedy', 'Drama']",(1994)
311,"Crow, The ","['Action', 'Crime', 'Fantasy', 'Thriller']",(1994)
312,Cobb ,['Drama'],(1994)
313,"Flintstones, The ","['Children', 'Comedy', 'Fantasy']",(1994)
314,Forrest Gump ,"['Comedy', 'Drama', 'Romance', 'War']",(1994)
315,Four Weddings and a Funeral ,"['Comedy', 'Romance']",(1994)
316,Higher Learning ,['Drama'],(1995)
317,I Like It Like That ,"['Comedy', 'Drama', 'Romance']",(1994)
318,I Love Trouble ,"['Action', 'Comedy']",(1994)
319,It Could Happen to You ,"['Comedy', 'Drama', 'Romance']",(1994)
320,"Jungle Book, The ","['Adventure', 'Children', 'Romance']",(1994)
321,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) ",['Documentary'],(1993)
322,"Lion King, The ","['Adventure', 'Animation', 'Children', 'Drama', 'Musical', 'IMAX']",(1994)
323,Little Buddha ,['Drama'],(1993)
324,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) ","['Drama', 'Horror', 'Mystery', 'Thriller']",(1994)
325,"Mask, The ","['Action', 'Comedy', 'Crime', 'Fantasy']",(1994)
326,Maverick ,"['Adventure', 'Comedy', 'Western']",(1994)
327,Mrs. Parker and the Vicious Circle ,['Drama'],(1994)
328,Naked Gun 33 1/3: The Final Insult ,"['Action', 'Comedy']",(1994)
329,"Paper, The ","['Comedy', 'Drama']",(1994)
330,Reality Bites ,"['Comedy', 'Drama', 'Romance']",(1994)
331,Red Rock West ,['Thriller'],(1992)
332,Richie Rich ,"['Children', 'Comedy']",(1994)
333,"River Wild, The ","['Action', 'Thriller']",(1994)
334,Speed ,"['Action', 'Romance', 'Thriller']",(1994)
335,Speechless ,"['Comedy', 'Romance']",(1994)
336,Timecop ,"['Action', 'Sci-Fi', 'Thriller']",(1994)
337,True Lies ,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']",(1994)
338,When a Man Loves a Woman ,"['Drama', 'Romance']",(1994)
339,Wolf ,"['Drama', 'Horror', 'Romance', 'Thriller']",(1994)
340,Wyatt Earp ,['Western'],(1994)
341,Bad Company ,"['Action', 'Crime', 'Drama']",(1995)
342,"Man of No Importance, A ",['Drama'],(1994)
343,S.F.W. ,['Drama'],(1994)
344,"Low Down Dirty Shame, A ","['Action', 'Comedy']",(1994)
345,Boys Life ,['Drama'],(1995)
346,"Colonel Chabert, Le ","['Drama', 'Romance', 'War']",(1994)
347,Faster Pussycat! Kill! Kill! ,"['Action', 'Crime', 'Drama']",(1965)
348,Jason's Lyric ,"['Crime', 'Drama']",(1994)
349,Street Fighter ,"['Action', 'Adventure', 'Fantasy']",(1994)
350,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) ,"['Action', 'Fantasy']",(1994)
351,Federal Hill ,['Drama'],(1994)
352,In the Mouth of Madness ,"['Horror', 'Thriller']",(1995)
353,8 Seconds ,['Drama'],(1994)
354,Above the Rim ,"['Crime', 'Drama']",(1994)
355,Addams Family Values ,"['Children', 'Comedy', 'Fantasy']",(1993)
356,"Age of Innocence, The ",['Drama'],(1993)
357,Airheads ,['Comedy'],(1994)
358,"Air Up There, The ",['Comedy'],(1994)
359,Another Stakeout ,"['Comedy', 'Thriller']",(1993)
360,Bad Girls ,['Western'],(1994)
361,Barcelona ,"['Comedy', 'Romance']",(1994)
362,Being Human ,['Drama'],(1993)
363,"Beverly Hillbillies, The ",['Comedy'],(1993)
364,Beverly Hills Cop III ,"['Action', 'Comedy', 'Crime', 'Thriller']",(1994)
365,Black Beauty ,"['Adventure', 'Children', 'Drama']",(1994)
366,Blink ,['Thriller'],(1994)
367,Blown Away ,"['Action', 'Thriller']",(1994)
368,Blue Chips ,['Drama'],(1994)
369,Blue Sky ,"['Drama', 'Romance']",(1994)
370,Body Snatchers ,"['Horror', 'Sci-Fi', 'Thriller']",(1993)
371,Boxing Helena ,"['Drama', 'Mystery', 'Romance', 'Thriller']",(1993)
372,"Bronx Tale, A ",['Drama'],(1993)
373,Cabin Boy ,['Comedy'],(1994)
374,Calendar Girl ,"['Comedy', 'Drama']",(1993)
375,Carlito's Way ,"['Crime', 'Drama']",(1993)
376,City Slickers II: The Legend of Curly's Gold ,"['Adventure', 'Comedy', 'Western']",(1994)
377,Clean Slate ,['Comedy'],(1994)
378,Cliffhanger ,"['Action', 'Adventure', 'Thriller']",(1993)
379,Coneheads ,"['Comedy', 'Sci-Fi']",(1993)
380,Color of Night ,"['Drama', 'Thriller']",(1994)
381,Cops and Robbersons ,['Comedy'],(1994)
382,"Cowboy Way, The ","['Action', 'Comedy', 'Drama']",(1994)
383,Dave ,"['Comedy', 'Romance']",(1993)
384,Dazed and Confused ,['Comedy'],(1993)
385,Demolition Man ,"['Action', 'Adventure', 'Sci-Fi']",(1993)
386,Even Cowgirls Get the Blues ,"['Comedy', 'Romance']",(1993)
387,Fatal Instinct ,['Comedy'],(1993)
388,Farewell My Concubine (Ba wang bie ji) ,"['Drama', 'Romance']",(1993)
389,Fearless ,['Drama'],(1993)
390,Fear of a Black Hat ,['Comedy'],(1994)
391,With Honors ,"['Comedy', 'Drama']",(1994)
392,Flesh and Bone ,"['Drama', 'Mystery', 'Romance']",(1993)
393,Widows' Peak ,['Drama'],(1994)
394,For Love or Money ,"['Comedy', 'Romance']",(1993)
395,"Firm, The ","['Drama', 'Thriller']",(1993)
396,Free Willy ,"['Adventure', 'Children', 'Drama']",(1993)
397,Fresh ,"['Crime', 'Drama', 'Thriller']",(1994)
398,"Fugitive, The ",['Thriller'],(1993)
399,Geronimo: An American Legend ,"['Drama', 'Western']",(1993)
400,"Getaway, The ","['Action', 'Adventure', 'Crime', 'Drama', 'Romance', 'Thriller']",(1994)
401,Getting Even with Dad ,['Comedy'],(1994)
402,Go Fish ,"['Drama', 'Romance']",(1994)
403,Hard Target ,"['Action', 'Adventure', 'Crime', 'Thriller']",(1993)
404,Hot Shots! Part Deux ,"['Action', 'Comedy', 'War']",(1993)
405,Live Nude Girls ,['Comedy'],(1995)
406,"Englishman Who Went Up a Hill But Came Down a Mountain, The ","['Comedy', 'Romance']",(1995)
407,"House of the Spirits, The ","['Drama', 'Romance']",(1993)
408,House Party 3 ,['Comedy'],(1994)
409,"Hudsucker Proxy, The ",['Comedy'],(1994)
410,I'll Do Anything ,"['Comedy', 'Drama']",(1994)
411,In the Army Now ,"['Comedy', 'War']",(1994)
412,In the Line of Fire ,"['Action', 'Thriller']",(1993)
413,In the Name of the Father ,['Drama'],(1993)
414,"Inkwell, The ","['Comedy', 'Drama']",(1994)
415,What's Love Got to Do with It? ,"['Drama', 'Musical']",(1993)
416,Jimmy Hollywood ,"['Comedy', 'Crime', 'Drama']",(1994)
417,Judgment Night ,"['Action', 'Crime', 'Thriller']",(1993)
418,Jurassic Park ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",(1993)
419,Kalifornia ,"['Drama', 'Thriller']",(1993)
420,Killing Zoe ,"['Crime', 'Drama', 'Thriller']",(1994)
421,Lassie ,"['Adventure', 'Children']",(1994)
422,Last Action Hero ,"['Action', 'Adventure', 'Comedy', 'Fantasy']",(1993)
423,Life with Mikey ,['Comedy'],(1993)
424,Lightning Jack ,"['Comedy', 'Western']",(1994)
425,M. Butterfly ,"['Drama', 'Romance']",(1993)
426,Made in America ,['Comedy'],(1993)
427,Malice ,['Thriller'],(1993)
428,"Man Without a Face, The ",['Drama'],(1993)
429,Manhattan Murder Mystery ,"['Comedy', 'Mystery']",(1993)
430,Menace II Society ,"['Action', 'Crime', 'Drama']",(1993)
431,Executive Decision ,"['Action', 'Adventure', 'Thriller']",(1996)
432,In the Realm of the Senses (Ai no corrida) ,['Drama'],(1976)
433,What Happened Was... ,"['Comedy', 'Drama', 'Romance', 'Thriller']",(1994)
434,Much Ado About Nothing ,"['Comedy', 'Romance']",(1993)
435,Mr. Wonderful ,"['Comedy', 'Romance']",(1993)
436,Mrs. Doubtfire ,"['Comedy', 'Drama']",(1993)
437,Naked ,['Drama'],(1993)
438,"Next Karate Kid, The ","['Action', 'Children', 'Romance']",(1994)
